sexo;tipo_de_emprendimiento;idea_negocio;barrio;estrato;comuna_ciudadano;fecha_de_beneficio;monto_del_credito;linea_de_credito
Femenino;comercio;venta de calzado;robledo;2;7.0;1/06/2016;3000000;microempresarial
Femenino;comercio;variedades;centro admtivo;3;10.0;2/02/2017;7377000;Microempresarial
Femenino;comercio;variedades;santa cruz;2;2.0;9/08/2017;7300000;microempresarial
Femenino;comercio;almacen de ropa en ;boston;3;10.0;12/10/2017;7000000;microempresarial
Femenino;comercio;tienda;carpinelo;1;1.0;12/06/2017;6000000;microempresarial
Masculino;comercio;fabrica de calzado;buenos aires;1;9.0;16/11/2018;6000000;microempresarial
Femenino;industria;fabrica de ;popular;1;1.0;12/03/2018;7000000;microempresarial
Femenino;comercio;tienda;doce de octubre no. 1;2;6.0;30/01/2018;3500000;microempresarial
Femenino;servicio;lavadero de ;el salvador;3;9.0;31/01/2018;7000000;microempresarial
Femenino;servicio;publicidad y ;aranjuez;3;4.0;13/10/2017;6000000;microempresarial
Femenino;comercio;distribuidora de ;cabecera san cristobal;2;60.0;24/08/2018;6000000;microempresarial
Masculino;comercio;Papeleria;las palmas;3;90.0;1/08/2018;4000000;microempresarial
Masculino;comercio;almacen de ropa en ;SAN DIEGO;2;10.0;17/01/2017;$ 5,000,000.00;microempresarial
Femenino;servicio;peluqueria;la francia;2;2.0;20/03/2018;7800000;microempresarial
Masculino;comercio;variedades;altavista;2;70.0;22/06/2018;7800000;microempresarial
Femenino;servicio;restaurante;guayabal;3;15.0;15/07/2016;6890000;MICROEMPRESARIAL
Femenino;comercio;distribuidora de ;el salado;1;13.0;16/08/2018;4000000;microempresarial
Masculino;industria;fabrica de ;la floresta;3;12.0;10/03/2016;6800000;microempresarial
Masculino;comercio;drogueria;bosques de san pablo;2;7.0;3/03/2017;7000000;microempresarial
Femenino;comercio;fabrica de alimentos;san javier no.1;2;13.0;30/05/2018;5000000;microempresarial
Masculino;comercio;comidas rapidas;bombona no.1;3;10.0;27/06/2017;2500000;microempresarial
Femenino;servicio;variedades;picacho;1;6.0;4/04/2019;4500000;microempresarial
Masculino;servicio;distribuidora de ;barrio caicedo;1;9.0;22/11/2016;6000000;microempresarial
Femenino;comercio;comidas rapidas;florencia;3;5.0;9/05/2017;7000000;microempresarial
Femenino;comercio;variedades;campo alegre;3;12.0;11/03/2019;4000000;microempresarial
Femenino;comercio;almacen de ropa en ;robledo;3;7.0;29/06/2017;$ 7,000,000.00;microempresarial
Masculino;servicio;Barberia;castilla;3;5.0;7/05/2019;8000000;microempresarial
Femenino;comercio;tienda;nuevos conquistadores;1;13.0;15/05/2018;7000000;microempresarial
Masculino;servicio;taller de mecanica;guayabal;3;15.0;24/01/2018;3000000;microempresarial
Masculino;comercio;variedades;florencia;3;5.0;5/02/2018;7800000;microempresarial
Masculino;comercio;granero;llanaditas;1;8.0;26/04/2017;4400000;microempresarial
Masculino;comercio;tienda de helados;florencia;3;5.0;15/03/2016;6890000;microempresarial
Masculino;industria;fabrica de ;santander;2;6.0;17/08/2017;7370000;microempresarial
Masculino;servicio;mantenimiento en ;CASTILLA;3;5.0;23/01/2019;8200000;microempresarial
Femenino;comercio;ferreteria;belencito;2;13.0;22/05/2018;7800000;microempresarial
Femenino;comercio;cafeteria;BARRIO CAICEDO;1;9.0;2/02/2018;7360000;microempresarial
Femenino;comercio;comidas rapidas;robledo;2;7.0;20/11/2017;$ 4,400,000.00;microempresarial
Femenino;comercio;tienda;villa hermosa;2;8.0;9/04/2018;7800000;microempresarial
Masculino;comercio;fabrica de muebles;santander;2;6.0;12/05/2017;5000000;Microempresarial
Femenino;servicio;fabrica de ;san javier no.1;1;13.0;22/02/2018;3000000;microempresarial
Masculino;comercio;tienda;andalucia;2;2.0;17/03/2017;7377000;microempresarial
Masculino;comercio;Variedades;la america;3;12.0;15/02/2018;1000000;microempresarial
Masculino;comercio;Variedades;la frontera;3;2.0;4/05/2018;7800000;microempresarial
Masculino;servicio;productos de belleza;popular;2;1.0;2/11/2018;7800000;microempresarial
Masculino;industria;fabrica de ;santo domingo savio ;1;1.0;12/05/2017;7377000;microempresarial
Femenino;comercio;variedades;belencito;1;13.0;4/03/2016;6000000;Microempresarial
Femenino;comercio;almacen de ropa en ;popular;2;1.0;3/04/2018;16720000;microempresarial
Femenino;industria;venta de calzado;aranjuez;2;4.0;3/04/2017;7000000;microempresarial
Femenino;comercio;variedades;centro admtivo;3;10.0;25/01/2018;3500000;microempresarial
Femenino;comercio;comidas rapidas;barrio caicedo;1;9.0;27/07/2018;1200000;microempresarial
Masculino;industria;venta de repuestos;cabecera san antonio ;3;80.0;4/07/2017;700000;microempresarial
Masculino;comercio;variedades;tricentenario;2;5.0;3/07/2018;2000000;microempresarial
Femenino;comercio;almacen de ropa en ;santa cruz;2;80.0;6/06/2017;6000000;microempresarial
Femenino;comercio;almacen de ropa en ;santo domingo savio ;1;1.0;31/08/2017;6000000;microempresarial
Masculino;industria;fabrica de ;cabecera san cristobal;2;60.0;23/02/2017;3500000;microempresarial
Femenino;comercio;fabrica de productos ;pedregal;3;6.0;3/08/2016;6890000;microempresarial
Femenino;industria;fabrica de ;pajarito;2;7.0;15/11/2018;$ 2,000,000.00;microempresarial
Masculino;comercio;VARIEDADES;la milagrosa;2;9.0;12/06/2018;7300000;microempresarial
Femenino;servicio;peluqueria;santa ines;1;3.0;27/04/2018;4000000;microempresarial
Femenino;comercio;tienda;cabecera san antonio ;2;80.0;14/06/2017;2000000;microempresarial
Femenino;comercio;almacen de ropa en ;la francia;2;2.0;22/01/2018;7800000;microempresarial
Femenino;comercio;ferreteria;santa cruz;2;2.0;4/08/2017;5000000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 2;1;3.0;13/09/2016;6890000;microempresarial
Masculino;servicio;barberia;manrique central no. 1;3;4.0;11/05/2018;7800000;microempresarial
Femenino;industria;fabrica de ;robledo;2;7.0;9/09/2016;6000000;microempresarial
Femenino;comercio;tienda;aranjuez;2;4.0;31/10/2017;7377000;microempresarial
Masculino;servicio;fabrica de juegos ;popular;1;1.0;17/11/2016;6890000;microempresarial
Femenino;comercio;comidas rapidas;manrique oriental;3;3.0;6/03/2017;$ 6,000,000.00;microempresarial
Femenino;comercio;variedades;manrique central no. 1;2;4.0;9/09/2016;6900000;microempresarial
Femenino;industria;fabrica de ;santander;2;6.0;4/07/2017;7300000;microempresarial
Femenino;servicio;restaurante;popular;2;1.0;5/09/2016;6890000;microempresarial
Femenino;comercio;marroquineria;francisco antonio zea;3;5.0;17/03/2017;6000000;microempresarial
Femenino;comercio;comidas rapidas;manrique central no. 1;3;4.0;23/11/2017;7370000;microempresarial
Femenino;comercio;variedades;castilla;3;5.0;2/06/2017;3000000;microempresarial
Femenino;comercio;comidas rapidas;doce de octubre no. 1;2;6.0;29/01/2018;2000000;microempresarial
Femenino;comercio;tienda;popular;2;1.0;3/11/2016;6890000;microempresarial
Masculino;industria;fabrica de calzado;CASTILLA;3;5.0;10/08/2018;7800000;microempresarial
Femenino;servicio;peluqueria;santa cruz;2;2.0;22/11/2018;7800000;microempresarial
Masculino;comercio;fabrica de alimentos;manrique oriental;2;3.0;13/02/2019;8000000;microempresarial
Femenino;servicio;variedades;buenos aires;2;9.0;23/11/2018;7000000;microempresarial
Femenino;servicio;tienda;la francia;2;2.0;4/09/2017;5000000;microempresarial
Femenino;comercio;almacen de ropa en ;olaya herrera;1;7.0;8/03/2016;6000000;microempresarial
Femenino;comercio;licorera;robledo;2;7.0;21/11/2017;7000000;microempresarial
Femenino;servicio;peluqueria;santa fe;3;15.0;22/03/2018;5000000;MICROEMPRESARIAL
Masculino;comercio;ferreteria;cabecera san antonio ;2;80.0;30/05/2017;7370000;microempresarial
Femenino;comercio;productos_de_belleza;robledo;2;7.0;5/06/2018;6000000;microempresarial
Femenino;comercio;variedades;buenos aires;3;9.0;6/11/2018;3000000;microempresarial
Masculino;comercio;fabrica de helados;altavista;2;16.0;28/09/2017;5000000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 2;2;3.0;11/05/2016;6000000;microempresarial
Femenino;servicio;peluqueria;cabecera san antonio ;3;80.0;1/06/2016;3500000;microempresarial
Masculino;industria;deposito de ;villa hermosa;2;8.0;10/05/2018;7500000;microempresarial
Masculino;comercio;variedades;enciso;1;8.0;14/06/2018;3000000;microempresarial
Femenino;servicio;peluqueria;san javier no.1;2;13.0;9/11/2018;5000000;microempresarial
Femenino;industria;fabrica de ;santa cruz;2;2.0;14/09/2016;6000000;microempresarial
Femenino;comercio;almacen de ropa en ;la milagrosa;3;9.0;8/05/2018;5000000;microempresarial
Femenino;comercio;comidas rapidas;moravia;2;4.0;12/06/2018;2000000;microempresarial
Masculino;comercio;lavadero de ;palermo;2;4.0;23/04/2018;5000000;microempresarial
Femenino;servicio;publicidad y ;manrique central no. 2;2;3.0;10/11/2016;6890000;microempresarial
Masculino;comercio;montallantas;aranjuez;2;4.0;18/08/2017;7377000;microempresarial
Femenino;comercio;tienda;cabecera san antonio ;2;80.0;12/07/2016;5000000;microempresarial
Femenino;comercio;tienda;manrique central no. 1;2;4.0;1/08/2018;5000000;microempresarial
Femenino;comercio;variedades;campo valdes no. 1;3;4.0;16/08/2018;7500000;microempresarial
Femenino;comercio;venta de calzado;cabecera san antonio ;2;80.0;31/01/2017;7377000;microempresarial
Femenino;servicio;comidas rapidas;san javier no.1;2;13.0;11/10/2016;5000000;microempresarial
Femenino;comercio;almacen de ropa en ;enciso;2;8.0;3/10/2018;6000000;microempresarial
Femenino;comercio;comidas rapidas;manrique central no. 2;2;3.0;17/09/2018;4000000;microempresarial
Femenino;comercio;marqueteria;cristo rey;3;15.0;13/06/2017;7377000;microempresarial
Femenino;comercio;variedades;playon de los ;1;2.0;9/07/2018;7800000;microempresarial
Femenino;comercio;comidas rapidas;robledo;2;7.0;12/10/2017;7300000;microempresarial
Masculino;comercio;billares;villatina;2;8.0;22/06/2017;2000000;microempresarial
Masculino;comercio;panaderia;castilla;3;5.0;23/11/2017;$ 7,300,000.00;microempresarial
Femenino;servicio;restaurante;las violetas;2;16.0;14/05/2019;7000000;microempresarial
Masculino;comercio;comidas rapidas;la milagrosa;2;9.0;23/04/2018;3500000;microempresarial
Masculino;servicio;variedades;andalucia;2;2.0;13/02/2017;7300000;microempresarial
Masculino;servicio;billares;buenos aires;3;9.0;15/08/2018;7800000;microempresarial
Femenino;comercio;variedades;san javier no.1;2;13.0;23/02/2018;6000000;microempresarial
Masculino;agropecuaria;fabrica de alimentos;robledo;3;7.0;3/02/2017;7377000;microempresarial
Masculino;SERVICIO;restaurante;francisco antonio zea;3;5.0;12/10/2017;7370000;microempresarial
Femenino;comercio;tienda;PEDREGAL;1;6.0;7/04/2017;$ 4,000,000.00;microempresarial
Masculino;servicio;comidas rapidas;belencito;3;13.0;6/07/2017;7370000;microempresarial
Masculino;comercio;barberia;san antonio;3;8.0;14/02/2018;7800000;microempresarial
Femenino;industria;fabrica de ;belen;3;16.0;29/06/2017;6000000;microempresarial
Masculino;industria;variedades;20 de julio;1;13.0;30/12/2016;6890000;microempresarial
Masculino;comercio;comidas rapidas;granizal;2;1.0;31/03/2017;2700000;microempresarial
Femenino;comercio;comidas rapidas;santo domingo savio ;1;1.0;31/08/2017;2200000;microempresarial
Femenino;comercio;Productos De Belleza;enciso;1;8.0;25/10/2018;6000000;microempresarial
Femenino;SERVICIO;barberia;buenos aires;3;9.0;9/02/2017;7377000;microempresarial
Femenino;industria;fabrica de ;boston;2;10.0;5/07/2017;7300000;microempresarial
Masculino;comercio;almacen de ropa en ;la milagrosa;3;9.0;2/11/2018;7800000;microempresarial
Femenino;comercio;tienda;cabecera san antonio ;2;80.0;26/04/2018;5000000;microempresarial
Femenino;comercio;almacen de ropa en ;san javier no.1;2;13.0;8/05/2017;7300000;microempresarial
Femenino;comercio;comidas rapidas;cabecera san cristobal;1;60.0;18/03/2019;4000000;microempresarial
Masculino;servicio;restaurante;santa elena central;3;90.0;29/03/2016;2000000;microempresarial
Masculino;industria;Variedades;manrique central no. 1;2;4.0;15/03/2018;4000000;MICROEMPRESARIAL
Masculino;comercio;comidas rapidas;robledo;2;7.0;21/03/2017;7370000;microempresarial
Femenino;servicio;peluqueria;cabecera san antonio ;2;80.0;21/03/2019;8000000;microempresarial
Femenino;comercio;almacen de ropa en ;olaya herrera;1;7.0;24/04/2018;$ 4,600,000.00;microempresarial
Femenino;industria;fabrica de ;belen;2;16.0;31/05/2016;6890000;microempresarial
Femenino;comercio;almacen de ropa en ;aranjuez;2;4.0;13/07/2016;6890000;microempresarial
Femenino;comercio;papeleria;san german;2;7.0;14/07/2016;6300000;microempresarial
Masculino;servicio;recreativo-educativo;aranjuez;3;4.0;5/08/2016;6000000;microempresarial
Femenino;comercio;variedades;robledo;3;7.0;8/06/2016;4000000;microempresarial
Femenino;comercio;variedades;san pablo;2;1.0;1/03/2018;3000000;microempresarial
Femenino;comercio;distribuidora de ;enciso;2;8.0;9/01/2019;6000000;microempresarial
Femenino;servicio;cafeteria;carpinelo;1;1.0;24/04/2018;7000000;microempresarial
Masculino;industria;fabrica de ;doce de octubre no. 1;2;6.0;8/08/2016;6800000;microempresarial
Femenino;comercio;tienda;villatina;1;8.0;6/02/2018;7000000;microempresarial
Femenino;industria;fabrica de ;buenos aires;3;9.0;2/11/2017;4700000;microempresarial
Femenino;industria;fabrica de ;enciso;2;8.0;25/10/2018;3000000;microempresarial
Femenino;comercio;variedades;san pablo;1;1.0;1/11/2018;7000000;microempresarial
Masculino;servicio;tienda;doce de octubre no. 1;2;6.0;16/08/2017;7370000;microempresarial
Femenino;servicio;peluqueria;la avanzada;1;1.0;23/03/2017;$ 7,300,000.00;microempresarial
Femenino;servicio;peluqueria;campo valdes no. 1;2;4.0;5/07/2018;7800000;microempresarial
Femenino;comercio;variedades;manrique oriental;1;3.0;12/07/2017;7300000;microempresarial
Femenino;comercio;variedades;trinidad;3;15.0;1/06/2018;4500000;microempresarial
Femenino;industria;fabrica de ;belencito;2;13.0;8/02/2018;7370000;microempresarial
Femenino;SERVICIO;peluqueria;doce de octubre no. 1;2;6.0;4/02/2019;7000000;microempresarial
Masculino;comercio;Granero;granizal;2;1.0;27/07/2017;5000000;microempresarial
Femenino;servicio;peluqueria;santa cruz;2;2.0;12/09/2018;6000000;microempresarial
Femenino;comercio;variedades;buenos aires;3;9.0;10/10/2017;3000000;microempresarial
Masculino;industria;organizacion y ;buenos aires;3;9.0;29/11/2016;5000000;microempresarial
Masculino;servicio;panaderia;calasanz;3;12.0;24/09/2018;7800000;microempresarial
Masculino;agropecuaria;jardineria;belen;1;16.0;20/02/2017;14754000;microempresarial
Femenino;servicio;organizacion y ;popular;2;1.0;23/01/2018;7300000;microempresarial
Femenino;comercio;variedades;manrique central no. 2;2;3.0;12/04/2016;2000000;microempresarial
Femenino;comercio;variedades;villa hermosa;2;8.0;30/10/2017;7377000;microempresarial
Masculino;INDUSTRIA;fabrica de calzado;pedregal;3;6.0;8/03/2018;$ 4,000,000.00;microempresarial
Masculino;comercio;recreativo-educativo;Manrique Oriental;2;3.0;25/05/2018;7812000;microempresarial
Femenino;comercio;cafeteria;moravia;2;4.0;28/02/2018;3000000;microempresarial
Femenino;comercio;fabrica de alimentos;doce de octubre no. 1;2;6.0;29/01/2018;2500000;microempresarial
Femenino;industria;fabrica de ;castilla;3;5.0;24/01/2018;7800000;Microempresarial
Masculino;servicio;peluqueria;cabecera san cristobal;1;60.0;4/04/2017;1000000;microempresarial
Femenino;servicio;peluqueria;campo valdes no. 1;3;4.0;4/10/2017;7377000;microempresarial
Femenino;comercio;ferreteria;PICACHITO;1;6.0;23/07/2018;1300000;microempresarial
Femenino;comercio;variedades;llanaditas;1;8.0;23/03/2018;7800000;microempresarial
Masculino;servicio;montallantas;belen;2;16.0;10/10/2017;5000000;microempresarial
Femenino;servicio;comidas rapidas;aranjuez;2;4.0;20/09/2017;5000000;microempresarial
Masculino;servicio;montallantas;campo valdes no. 1;3;4.0;15/05/2018;4000000;microempresarial
Femenino;comercio;variedades;san javier no.1;2;13.0;27/03/2017;7370000;microempresarial
Masculino;servicio;comidas rapidas;san javier no.2;3;13.0;11/11/2016;$ 2,000,000.00;microempresarial
Femenino;comercio;variedades;manrique central no. 2;2;3.0;24/02/2016;6000000;microempresarial
Masculino;servicio;peluqueria;20 de julio;1;13.0;22/09/2017;5000000;microempresarial
Femenino;comercio;comidas rapidas;cabecera san cristobal;2;60.0;5/09/2018;4000000;microempresarial
Masculino;comercio;tienda;robledo;2;7.0;5/12/2018;1200000;microempresarial
Femenino;comercio;productos de belleza;robledo;3;7.0;22/06/2017;4000000;microempresarial
Masculino;comercio;distribuidora de ;buenos aires;3;9.0;18/02/2016;6000000;microempresarial
Femenino;industria;fabrica de ;moravia;2;4.0;10/09/2018;7812000;microempresarial
Masculino;comercio;bares;prado;3;10.0;6/04/2016;4000000;microempresarial
Femenino;comercio;ferreteria;castilla;3;5.0;30/01/2018;7800000;microempresarial
Femenino;agropecuaria;sembrados;cabecera san cristobal;2;60.0;21/11/2017;6000000;agropecuaria
Masculino;industria;fabrica de ;sucre;3;8.0;25/10/2016;6500000;microempresarial
Masculino;comercio;legumbreria;buenos aires;3;9.0;22/09/2016;6890000;microempresarial
Femenino;industria;fabrica de ;castilla;3;5.0;9/06/2017;5500000;microempresarial
Masculino;servicio;taller de electronica;castilla;2;5.0;6/03/2018;$ 7,000,000.00;Microempresarial
Masculino;comercio;almacen de ropa en ;manrique central no. 1;2;4.0;6/06/2018;1000000;microempresarial
Femenino;servicio;PELUQUERIA;La Milagrosa;2;9.0;11/10/2018;4000000;microempresarial
Femenino;comercio;VARIEDADES;enciso;2;8.0;23/03/2018;4000000;MICROEMPRESARIAL
Femenino;comercio;tienda;guayabal;3;15.0;5/06/2019;7500000;microempresarial
Femenino;comercio;peluqueria;doce de octubre no. 1;2;6.0;3/05/2016;6000000;microempresarial
Femenino;comercio;variedades;picacho;1;6.0;28/09/2016;6890000;microempresarial
Femenino;servicio;recreativo-educativo;picacho;1;6.0;9/04/2018;7800000;microempresarial
Masculino;comercio;tienda naturista;villatina;2;10.0;16/03/2018;7000000;microempresarial
Femenino;comercio;tienda;san javier no.1;2;13.0;21/12/2016;1500000;microempresarial
Femenino;comercio;tienda;20 de julio;1;13.0;8/06/2016;5000000;microempresarial
Masculino;industria;taller de mecanica;calasanz;2;12.0;24/05/2017;7300000;microempresarial
Femenino;comercio;tienda;robledo;2;7.0;17/05/2016;6890000;microempresarial
Femenino;servicio;productos de belleza;ARANJUEZ;2;4.0;22/03/2017;7370000;microempresarial
Masculino;servicio;fabrica de calzado;LA MILAGROSA;2;9.0;16/06/2017;1200000;microempresarial
Masculino;comercio;almacen de ropa en ;la milagrosa;3;9.0;28/09/2016;$ 6,890,000.00;microempresarial
Femenino;SERVICIO;tienda;enciso;2;8.0;4/09/2017;7377000;microempresarial
Femenino;comercio;almacen de ropa en ;manrique oriental;3;3.0;21/06/2016;6890000;microempresarial
Femenino;servicio;peluqueria;manrique central no. 1;2;4.0;11/10/2017;7000000;microempresarial
Masculino;comercio;tienda;belen;3;16.0;25/07/2017;4900000;microempresarial
Masculino;servicio;barberia;santa cruz;2;2.0;3/11/2017;7300000;microempresarial
Femenino;industria;fabrica de ;robledo;2;7.0;1/09/2016;6000000;microempresarial
Femenino;comercio;tienda;santa cruz;2;2.0;2/08/2018;5000000;microempresarial
Masculino;comercio;tienda;granizal;2;1.0;26/05/2016;6890000;microempresarial
Femenino;comercio;variedades;manrique central no. 2;2;3.0;21/12/2016;1000000;microempresarial
Femenino;comercio;variedades;enciso;1;8.0;20/09/2017;4000000;microempresarial
Femenino;industria;fabrica de ;nuevos conquistadores;1;13.0;2/08/2018;2500000;microempresarial
Femenino;comercio;comidas rapidas;manrique central no. 1;2;4.0;25/10/2017;248087;microempresarial
Masculino;comercio;variedades;altavista;1;70.0;25/01/2018;1200000;microempresarial
Masculino;comercio;almacen de ropa en ;la francia;2;2.0;7/06/2018;7800000;microempresarial
Masculino;servicio;peluqueria;moravia;2;4.0;25/04/2018;7000000;microempresarial
Femenino;industria;fabrica de alimentos;moravia;1;4.0;18/04/2016;6000000;microempresarial
Femenino;comercio;comidas rapidas;robledo;2;7.0;26/10/2018;5000000;microempresarial
Masculino;comercio;variedades;trinidad;3;15.0;3/04/2017;7000000;microempresarial
Femenino;industria;fabrica de ;ROBLEDO;2;7.0;11/10/2018;2000000;microempresarial
Masculino;comercio;tienda;llanaditas;1;8.0;27/06/2018;4500000;microempresarial
Masculino;servicio;barberia;cabecera san cristobal;2;60.0;21/04/2017;7000000;microempresarial
Femenino;comercio;cafe e internet;buenos aires;3;10.0;3/10/2018;7800000;microempresarial
Femenino;comercio;publicidad y ;buenos aires;2;9.0;8/02/2018;2250000;Microempresarial
Femenino;industria;fabrica de ;la floresta;3;12.0;27/02/2018;5000000;microempresarial
Masculino;comercio;fabrica de ;villa hermosa;3;8.0;9/09/2016;6890000;microempresarial
Masculino;comercio;tienda;buenos aires;3;9.0;29/05/2018;7800000;microempresarial
Femenino;comercio;tienda;san javier no.1;1;13.0;18/04/2016;4000000;microempresarial
Masculino;industria;fabrica de ;francisco antonio zea;3;5.0;14/07/2016;6890000;microempresarial
Femenino;comercio;taller de mecanica;fuente clara;1;7.0;10/05/2018;7800000;microempresarial
Femenino;comercio;comidas rapidas;buenos aires;3;9.0;5/02/2018;7800000;microempresarial
Femenino;INDUSTRIA;fabrica de ;manrique oriental;1;3.0;20/09/2018;2000000;microempresarial
Femenino;comercio;variedades;castilla;2;5.0;21/09/2017;1000000;microempresarial
Femenino;comercio;drogueria;robledo;2;7.0;30/10/2017;7300000;microempresarial
Femenino;industria;fabrica de ;andalucia;2;2.0;18/06/2019;$ 8,281,000.00;microempresarial
Femenino;COMERCIO;tienda;la milagrosa;3;9.0;18/07/2017;7300000;microempresarial
Masculino;industria;fabrica de arepas;robledo;2;7.0;6/05/2016;4500000;MICROEMPRESARIAL
Femenino;comercio;fabrica de calzado;cordoba;3;7.0;3/10/2018;1000000;microempresarial
Masculino;servicio;barberia;cabecera san cristobal;1;60.0;25/04/2017;7300000;microempresarial
Femenino;servicio;peluqueria;aranjuez;2;4.0;5/12/2016;6890000;MICROEMPRESARIAL
Femenino;industria;fabrica de ;barrio caicedo;2;9.0;4/07/2017;4500000;microempresarial
Masculino;comercio;tienda;manrique central no. 1;2;4.0;10/11/2016;6900000;microempresarial
Femenino;comercio;variedades;manrique oriental;2;3.0;11/06/2019;8200000;microempresarial
Femenino;COMERCIO;restaurante;cristo rey;3;15.0;13/12/2016;68900000;microempresarial
Masculino;servicio;drogueria;robledo;1;7.0;9/03/2017;$ 7,300,000.00;microempresarial
Masculino;industria;fabrica de ;la isla;1;2.0;13/12/2016;6890000;microempresarial
Masculino;comercio;panaderia;robledo;2;7.0;29/03/2017;7377000;microempresarial
Femenino;industria;fabrica de ;doce de octubre no. 1;2;6.0;2/04/2019;5000000;microempresarial
Femenino;comercio;almacen de ropa en ;robledo;1;7.0;16/08/2018;7000000;microempresarial
Femenino;comercio;tienda;MANRIQUE CENTRAL NO. 1;2;4.0;31/01/2018;2500000;microempresarial
Femenino;comercio;fabrica de ;popular;2;1.0;14/03/2018;6000000;microempresarial
Masculino;comercio;comidas rapidas;manrique central no. 1;1;4.0;14/08/2017;7000000;microempresarial
Femenino;comercio;variedades;pedregal;3;6.0;8/02/2018;5000000;microempresarial
Masculino;comercio;miscelanea;robledo;1;7.0;26/02/2018;2500000;microempresarial
Masculino;comercio;fabrica de ;robledo;2;7.0;13/03/2018;3000000;microempresarial
Femenino;COMERCIO;tienda;san javier no.1;2;13.0;17/07/2018;782000;microempresarial
Masculino;industria;fabrica de alimentos;santa elena central;1;90.0;24/04/2019;5000000;microempresarial
Masculino;servicio;cafe e internet;manrique central no. 2;3;3.0;19/01/2017;3000000;microempresarial
Femenino;industria;fabrica de ;san javier no.1;1;13.0;28/05/2018;4000000;microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;3;4.0;11/12/2017;7000000;microempresarial
Femenino;comercio;comidas rapidas;manrique central no. 1;2;4.0;18/12/2018;6000000;microempresarial
Masculino;comercio;bares;cabecera san cristobal;2;60.0;26/01/2018;7800000;Microempresarial
Femenino;industria;fabrica de ;manrique central no. 1;2;4.0;6/07/2018;6000000;microempresarial
Femenino;comercio;tienda;buenos aires;3;9.0;18/03/2016;28000000;empresarial-ed.-
Femenino;comercio;variedades;aranjuez;1;4.0;29/03/2016;2500000;microempresarial
Femenino;industria;fabrica de ;robledo;2;7.0;24/10/2017;4000000;microempresarial
Masculino;industria;panaderia;centro admtivo;2;10.0;5/10/2017;1500000;microempresarial
Femenino;comercio;variedades;cabecera san antonio ;3;80.0;16/03/2017;7000000;microempresarial
Masculino;comercio;almacen de ropa en ;popular;2;1.0;31/01/2019;8200000;microempresarial
Femenino;COMERCIO;peluqueria;manrique oriental;1;3.0;29/10/2018;5000000;microempresarial
Femenino;comercio;variedades;manrique central no. 2;2;3.0;2/03/2018;7800000;microempresarial
Femenino;comercio;tienda;aranjuez;3;4.0;3/03/2017;7377000;microempresarial
Femenino;comercio;comidas rapidas;san javier no.1;1;13.0;4/08/2017;2000000;microempresarial
Masculino;servicio;mantenimiento en ;belen;3;16.0;22/08/2018;7000000;Microempresarial
Femenino;industria;fabrica de ;campo valdes no. 2;2;3.0;13/09/2016;$ 6,000,000.00;microempresarial
Masculino;servicio;restaurante;santa cruz;2;2.0;5/07/2016;6890000;microempresarial
Masculino;comercio;almacen de ropa en ;manrique oriental;3;3.0;20/02/2018;3000000;microempresarial
Masculino;comercio;variedades;doce de octubre no. 1;2;6.0;30/10/2018;7800000;Microempresarial
Femenino;industria;distribuidora de ;castilla;2;5.0;11/09/2018;7800000;microempresarial
Femenino;comercio;restaurante;moravia;1;4.0;29/10/2018;7800000;microempresarial
Masculino;Servicio;mantenimiento en ;manrique oriental;2;3.0;10/07/2018;19530000;empresarial ed. 
Masculino;servicio;Fotografia;la pradera;3;13.0;2/10/2017;4200000;microempresarial
Femenino;comercio;tienda;popular;2;1.0;11/10/2018;$ 7,800,000.00;credioportuno
Femenino;industria;marroquineria;boston;3;10.0;30/05/2018;2500000;microempresarial
Masculino;servicio;barberia;robledo;2;7.0;8/08/2017;3000000;microempresarial
Femenino;comercio;comidas rapidas;GRANIZAL;2;1.0;3/08/2017;21000000;microempresarial
Masculino;servicio;fabrica de arepas;manrique central no. 1;3;4.0;19/07/2016;4000000;microempresarial
Femenino;COMERCIO;almacen de ropa en ;robledo;3;7.0;20/10/2017;7370000;microempresarial
Masculino;comercio;tienda;el triunfo;1;6.0;30/11/2018;7800000;microempresarial
Femenino;servicio;comidas rapidas;granizal;1;1.0;5/04/2016;2000000;microempresarial
Femenino;industria;fabrica de ;popular;2;1.0;3/10/2017;7377000;microempresarial
Femenino;comercio;productos de belleza;castilla;3;5.0;23/07/2018;7800000;microempresarial
Masculino;comercio;cafeteria;aranjuez;3;4.0;26/01/2018;$ 5,000,000.00;Microempresarial
Femenino;comercio;papeleria;aranjuez;2;4.0;15/02/2019;8281000;microempresarial
Femenino;comercio;productos de belleza;buenos aires;3;9.0;16/08/2016;6890000;MICROEMPRESARIAL
Masculino;comercio;variedades;buenos aires;3;9.0;5/02/2018;7300000;microempresarial
Femenino;servicio;peluqueria;andalucia;2;2.0;19/05/2017;5000000;microempresarial
Masculino;comercio;mantenimiento en ;san javier no.1;2;13.0;1/02/2017;7377000;microempresarial
Masculino;comercio;charcuteria;cabecera san cristobal;3;60.0;21/03/2017;7000000;microempresarial
Femenino;comercio;tienda;cabecera san cristobal;1;60.0;6/11/2018;10;microempresarial
